Row,OR,LB,UB,p_value
leisure,1.54610506942485,1.14343254441934,2.09058321574635,0.00464393926221083
home,0.000701206206390839,2.07387406175398e-08,23.708775424154,0.172255074661686
work,1.11913294603655,0.906006830749127,1.38239415906926,0.296380129108978
money,1.3861519074388,1.13911790161718,1.68675876989419,0.0011113690291054
relig,1.14048083430505,0.941613831431185,1.38134815993536,0.178749177830548
Physical,0.704008302827021,0.532979054698799,0.929919639580351,0.013447540234217
health,0.821942805981081,0.632716176560672,1.06776150402292,0.141870773429347
illness,0.921026103987961,0.718293622096506,1.18097816565782,0.516610709848537
wellness,0.00756865242178398,2.40336873911581e-187,2.38350855403281e+182,0.982023541984859
mental,1.56700094634388e-06,1.08836468916892e-09,0.00225612976080439,0.0003152070468284
substances,0.597147137310046,0.328943901598906,1.08402892366851,0.0901163293803343
sexual,NaN,NaN,NaN,NaN
food,1.2041743720685,0.989496146921333,1.46542856468733,0.0636539307752431
death,0.843522566717517,0.571145925322871,1.24579426905563,0.392366380031873
need,22.5408011966037,0,Inf,0.999497185784443
want,NaN,NaN,NaN,NaN
acquire,1.11890036465228,0.919941531684713,1.36088869009566,0.260733154608825
lack,1.01404952284368,0.81730481613289,1.25815535952048,0.899115933344404
fulfill,0.278051649685345,0,Inf,0.99997123984553
fatigue,NaN,NaN,NaN,NaN
reward,1.21094973477533,1.00055715716414,1.46558270025135,0.0493309186510899
risk,0.869652886421225,0.635111375320412,1.19080868686885,0.383778589020325
curiosity,1.08750606458636,0.880968314000561,1.34246535512895,0.435015066161992
allure,0.918323405919862,0.713472049416037,1.1819914719161,0.508199572983268
Perception,0.993903320146434,0.788527278651664,1.25277062258044,0.958702619454606
attention,6.13602003591451e-07,1.33721916890453e-12,0.281559992233647,0.0315116373635413
motion,0.937958933782589,0.720772653865233,1.22058870677836,0.633624791842079
space,1.16147842170848,0.931193354874075,1.44871322055006,0.184274546248592
visual,0.687198751798006,0.460760746402505,1.02491830773319,0.0658681773425007
auditory,4.08695021582855,0,Inf,0.999968367062365
feeling,1.17888254053871,0.969447473476237,1.43356301647123,0.0991334556816343
time,0.71769150786042,0.50309267569531,1.02382945596074,0.0672387553766098
focuspast,1.27673998848323,1.03405534889926,1.57638080004841,0.0231264422460041
focuspresent,1.12207963242811,0.893602355150587,1.40897424257328,0.321404417918682
focusfuture,0.902071212270188,0.696564428834094,1.16820847910455,0.434605181174495
Conversation,0.122970078914581,0,Inf,0.999804406312497
netspeak,0.122970078914581,0,Inf,0.999804406312497
assent,NaN,NaN,NaN,NaN
nonflu,NaN,NaN,NaN,NaN
filler,NaN,NaN,NaN,NaN
Period,0.662040923995693,0.498559589200053,0.879128983855928,0.00436772873648465
Comma,0.905545467430007,0.70062390074821,1.1704033971826,0.448475153318628
QMark,NaN,NaN,NaN,NaN
Exclam,NaN,NaN,NaN,NaN
Apostro,1.11431879955064,0.902706362896041,1.37553742619955,0.313749119400935
OtherP,0.71200810931191,0.456433680103264,1.11068829892489,0.134328653849672
